Country,ISO 3166-1 alpha-3,Year,Total
Iceland,ISL,2021,3.374964
India,IND,2021,2709.683625
Indonesia,IDN,2021,619.277533
Iraq,IRQ,2021,185.580695
Ireland,IRL,2021,37.540329
Iran,IRN,2021,748.878752
Israel,ISR,2021,54.528532
Italy,ITA,2021,328.68732
Jamaica,JAM,2021,7.689743
Japan,JPN,2021,1067.398435
Jordan,JOR,2021,25.593717
Kazakhstan,KAZ,2021,276.68346
Kenya,KEN,2021,19.875403
Kiribati,KIR,2021,0.071533
Kosovo,KSV,2021,5.644358
Kuwait,KWT,2021,106.134264
Kuwaiti Oil Fires,,2021,0
Kyrgyzstan,KGZ,2021,9.308101
Laos,LAO,2021,20.7775
Latvia,LVA,2021,7.266214
Lebanon,LBN,2021,24.958901
Leeward Islands,,2021,0
Lesotho,LSO,2021,2.282165
Liberia,LBR,2021,1.19526
Libya,LBY,2021,74.525079
Liechtenstein,LIE,2021,0.15095
Lithuania,LTU,2021,13.880837
Luxembourg,LUX,2021,8.354555
Macao,MAC,2021,1.286771
North Macedonia,MKD,2021,6.851552
Madagascar,MDG,2021,4.244355
Malawi,MWI,2021,1.552193
Malaysia,MYS,2021,256.048939
Maldives,MDV,2021,2.118174
Mali,MLI,2021,4.169758
Malta,MLT,2021,1.724154
Marshall Islands,MHL,2021,0.158962
Martinique,MTQ,2021,2.100146
Mauritania,MRT,2021,4.118111
Mauritius,MUS,2021,4.471674
Mayotte,MYT,2021,0.273281
Mexico,MEX,2021,407.205037
Mongolia,MNG,2021,50.315914
Montenegro,MNE,2021,1.751386
Montserrat,MSR,2021,0.020678
Morocco,MAR,2021,70.577665
Mozambique,MOZ,2021,7.156209
Myanmar,MMR,2021,36.306759
Namibia,NAM,2021,4.014822
Nauru,NRU,2021,0.059611
Nepal,NPL,2021,14.173067
Netherlands,NLD,2021,141.045431
New Caledonia,NCL,2021,5.496273
New Zealand,NZL,2021,33.789825
Nicaragua,NIC,2021,5.05977
Niger,NER,2021,2.698898
Nigeria,NGA,2021,136.986784
Niue,NIU,2021,0.011922
Norway,NOR,2021,40.918553
Occupied Palestinian Territory,PSE,2021,3.092231
Oman,OMN,2021,80.991181
Pacific Islands (Palau),,2021,0
Pakistan,PAK,2021,229.512397
Palau,PLW,2021,0.238444
Panama,PAN,2021,13.03162
Papua New Guinea,PNG,2021,8.509555
Paraguay,PRY,2021,8.576565
Peru,PER,2021,56.282
Philippines,PHL,2021,144.263875
Bolivia,BOL,2021,23.321669
Poland,POL,2021,328.579763
Portugal,PRT,2021,40.797216
Puerto Rico,PRI,2021,0
Qatar,QAT,2021,95.66718
Cameroon,CMR,2021,9.297284
South Korea,KOR,2021,616.074996
Moldova,MDA,2021,5.60151
South Sudan,SSD,2021,1.58206
Sudan,SDN,2021,21.038215
R̩union,REU,2021,4.102958
Romania,ROU,2021,79.32686
Russia,RUS,2021,1755.54739
Rwanda,RWA,2021,1.754532
Ryukyu Islands,,2021,0
Saint Helena,SHN,2021,0.013785
Saint Lucia,LCA,2021,0.485927
Sint Maarten (Dutch part),SXM,2021,0.647902
Samoa,WSM,2021,0.29408
Sao Tome and Principe,STP,2021,0.131978
Saudi Arabia,SAU,2021,672.37987
Senegal,SEN,2021,13.59791
Serbia,SRB,2021,30.868986
Seychelles,SYC,2021,0.568279
Sierra Leone,SLE,2021,1.299404
Singapore,SGP,2021,32.506889
Slovakia,SVK,2021,35.308218
Slovenia,SVN,2021,12.54933
Solomon Islands,SLB,2021,0.317925
Somalia,SOM,2021,0.610374
South Africa,ZAF,2021,435.928899
Spain,ESP,2021,233.649543
Sri Lanka,LKA,2021,20.78091
Saint Kitts and Nevis,KNA,2021,0.237794
St. Kitts-Nevis-Anguilla,KNA,2021,0
Saint Pierre and Miquelon,SPM,2021,0.062033
Saint Vincent and the Grenadines,VCT,2021,0.21367
Suriname,SUR,2021,2.793206
Swaziland,SWZ,2021,1.087219
Sweden,SWE,2021,35.848949
Switzerland,CHE,2021,34.931692
Syria,SYR,2021,27.00077
Taiwan,TWN,2021,282.856073
Tajikistan,TJK,2021,10.336408
Thailand,THA,2021,278.495695
Timor-Leste,TLS,2021,0.736328
Togo,TGO,2021,2.34202
Tonga,TON,2021,0.174859
Trinidad and Tobago,TTO,2021,36.124037
Tunisia,TUN,2021,31.582747
Turkey,TUR,2021,446.204185
Turkmenistan,TKM,2021,83.006808
Turks and Caicos Islands,TCA,2021,0.341183
Tuvalu,TUV,2021,0.007948
Uganda,UGA,2021,5.780464
Ukraine,UKR,2021,201.857716
United Arab Emirates,ARE,2021,204.086658
United Kingdom,GBR,2021,346.773181
Tanzania,TZA,2021,13.058865
USA,USA,2021,5007.335889
Uruguay,URY,2021,6.737872
Uzbekistan,UZB,2021,121.631478
Vanuatu,VUT,2021,0.174859
Venezuela,VEN,2021,79.746599
Viet Nam,VNM,2021,326.013668
Wallis and Futuna Islands,WLF,2021,0.027818
Yemen,YEM,2021,12.476597
Zambia,ZMB,2021,7.67618
Zimbabwe,ZWE,2021,11.296114
International Transport,XIT,2021,1021.749204
Global,WLD,2021,37123.85035
